Antony & Cleopatra	2012	Kemal AydoÄan	/discovery-space/previous-productions/antony-cleopatra-1
The Tempest	2016	Dominic Dromgoole	/discovery-space/previous-productions/the-tempest-5
Hamlet	2016	Dominic Dromgoole & Bill Buckhurst	/discovery-space/previous-productions/hamlet-4
Macbeth	2015	Tang Shu-wing	/discovery-space/previous-productions/macbeth-4
Romeo & Juliet	2012	Gabriel Villela	/discovery-space/previous-productions/romeo-juliet-2
King Lear	2012	Vladimir Shcherban	/discovery-space/previous-productions/king-lear-4
The Tempest	2013	Jeremy Herrin	/discovery-space/previous-productions/the-tempest-4
Romeo & Juliet	2013	Bill Buckhurst	/discovery-space/previous-productions/playing-shakespeare-romeo-juliet-1
Richard III	2012	Tim Carroll	/discovery-space/previous-productions/richard-iii-4
Hamlet	2012	Dominic Dromgoole and Bill Buckhurst	/discovery-space/previous-productions/hamlet-3
Hamlet	2012	Eimuntas NekroÅ¡ius	/discovery-space/previous-productions/hamlet-5
Othello	2015	Bill Buckhurst	/discovery-space/previous-productions/playing-shakespeare-othello
King Lear	2014	Bill Buckhurst	/discovery-space/previous-productions/king-lear-6
Julius Caesar	2014	Dominic Dromgoole	/discovery-space/previous-productions/julius-caesar-1
Antony & Cleopatra	2014	Jonathan Munby	/discovery-space/previous-productions/antony-cleopatra-3
Richard III	2015	Wang Xiaoying	/discovery-space/previous-productions/richard-iii-2
Richard III	2013	Tim Carroll	/discovery-space/previous-productions/richard-iii-5
Romeo & Juliet	2015	Dominic Dromgoole & Tim Hoare	/discovery-space/previous-productions/romeo-juliet-5
King Lear	2013	Vladimir Shcherban	/discovery-space/previous-productions/king-lear-2
Macbeth	2013	Eve Best	/discovery-space/previous-productions/macbeth-1
King Lear	2013	Bill Buckhurst	/discovery-space/previous-productions/king-lear-5
Macbeth	2012	Maja Kleczewska	/discovery-space/previous-productions/macbeth-2
The Tempest	2012	Nasir Uddin Yousuff	/discovery-space/previous-productions/the-tempest-3
Othello	2012	GQ & JQ	/discovery-space/previous-productions/othello-1
Romeo and Juliet	2017	Daniel Kramer	/discovery-space/previous-productions/romeo-and-juliet
Othello	2017	Ellen McDougall	/discovery-space/previous-productions/othello-2
Julius Caesar	2012	Andrea Baracco	/discovery-space/previous-productions/julius-caesar-3
Richard III	2012	Wang Xiaoying	/discovery-space/previous-productions/richard-iii-1
Hamlet	2011	Dominic Dromgoole	/discovery-space/previous-productions/hamlet
Macbeth	2011	Bill Buckhurst	/discovery-space/previous-productions/playing-shakespeare-macbeth-1
Romeo & Juliet	2009	Dominic Dromgoole	/discovery-space/previous-productions/romeo-juliet-4
Romeo & Juliet	2009	Bill Buckhurst	/discovery-space/previous-productions/playing-shakespeare-romeo-juliet
Romeo & Juliet	2008	Elizabeth Freestone	/discovery-space/previous-productions/romeo-juliet-3
Antony & Cleopatra	2006	Dominic Dromgoole	/discovery-space/previous-productions/antony-cleopatra
The Tempest	2005	Tim Carroll	/discovery-space/previous-productions/the-tempest-1
King Lear	2008	Dominic Dromgoole	/discovery-space/previous-productions/king-lear-1
Romeo & Juliet	2007	Edward Dick	/discovery-space/previous-productions/romeo-juliet-1
Othello	2007	Wilson Milam	/discovery-space/previous-productions/othello
Macbeth	2001	Tim Carroll	/discovery-space/previous-productions/macbeth
King Lear	2001	Barry Kyle	/discovery-space/previous-productions/king-lear
Hamlet	2000	Giles Block	/discovery-space/previous-productions/hamlet-1
Macbeth	2010	Lucy Bailey	/discovery-space/previous-productions/macbeth-3
The Tempest	2000	Lenka Udovicki	/discovery-space/previous-productions/the-tempest
Antony & Cleopatra	1999	Giles Block	/discovery-space/previous-productions/antony-cleopatra-2
Macbeth	2010	Bill Buckhurst	/discovery-space/previous-productions/playing-shakespeare-macbeth
Julius Caesar	1999	Mark Rylance	/discovery-space/previous-productions/julius-caesar
Romeo & Juliet	2004	Tim Carroll	/discovery-space/previous-productions/romeo-juliet
Richard III	2003	Barry Kyle	/discovery-space/previous-productions/richard-iii
