2014-01-01T00:00:00	Julius Caesar						George Irving	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
1911-04-25T00:00:00	Julius Caesar	Murray Carrington	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1922-07-29T00:00:00	Julius Caesar	Stanley Lathbury	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1993-08-05T00:00:00	Julius Caesar	David Sumner	David Thacker	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1932-04-26T00:00:00	Julius Caesar	Randle Ayrton	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2011-01-10T00:00:00	Julius Caesar	Greg Hicks	Lucy Bailey	Royal Shakespeare Company	The Roundhouse, London
1930-07-12T00:00:00	Julius Caesar	Kenneth Wicksteed	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1963-04-09T00:00:00	Julius Caesar	Roy Dotrice	John Blatchley	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1983-03-29T00:00:00	Julius Caesar	Joseph O'Conor	Ron Daniels	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1972-05-02T00:00:00	Julius Caesar	Mark Dignam	Euan Smith	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1995-07-05T00:00:00	Julius Caesar	Christopher Benjamin	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1906-04-25T00:00:00	Julius Caesar	George Buchanan	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2012-08-15T00:00:00	Julius Caesar	Jeffery Kissoon	Gregory Doran	Royal Shakespeare Company	Noel Coward Theatre, London
2001-07-26T00:00:00	Julius Caesar	Ian Hogg	Edward Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1936-04-14T00:00:00	Julius Caesar	Donald Eccles	John Wyse	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1968-04-03T00:00:00	Julius Caesar	Brewster Mason	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1980-03-04T00:00:00	Julius Caesar	John Woodvine	Barry Kyle	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1992-03-10T00:00:00	Julius Caesar	Robert Stephens	Steven Pimlott	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1910-05-04T00:00:00	Julius Caesar	Guy B Rathbone	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1950-05-02T00:00:00	Julius Caesar	Andrew Cruickshank	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1987-04-08T00:00:00	Julius Caesar	David Waller	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1889-04-22T00:00:00	Julius Caesar	P C Beverly	Osmond Tearle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2004-10-20T00:00:00	Julius Caesar	Christopher Saul	David Farr	Royal Shakespeare Company	Tour
1912-04-29T00:00:00	Julius Caesar	J Moffat Johnston	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1898-04-11T00:00:00	Julius Caesar	G Fitzgerald	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1988-06-14T00:00:00	Julius Caesar	Joseph O'Conor	Terry Hands	Royal Shakespeare Company	Barbican Theatre, London
1941-04-15T00:00:00	Julius Caesar	Gerald Kay Souper	Andrew Leigh	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1915-04-19T00:00:00	Julius Caesar	J Moffat Johnston	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1914-08-11T00:00:00	Julius Caesar	Rupert L Conrick	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1934-04-19T00:00:00	Julius Caesar	Eric Maxon	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2017-03-23T00:00:00	Julius Caesar	Andrew Woodall	Angus Jackson	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2006-05-16T00:00:00	Julius Caesar	James Hayes	Sean Holmes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1904-04-27T00:00:00	Julius Caesar	Walter Hampden	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1892-04-20T00:00:00	Julius Caesar	Erskine Lewis	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1957-05-28T00:00:00	Julius Caesar	Cyril Alexander Garland Luckham	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1919-08-05T00:00:00	Julius Caesar	G F Hannam Clark	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989-01-01T00:00:00	Julius Caesar	Terence Longdon	Michael Joyce	unknown production company	Theatre Royal, Bath
1930-07-12T00:00:00	Julius Caesar	Kenneth Wicksteed	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1864-11-25T00:00:00	Julius Caesar	E. Varrey	director unknown	Shakespeare statue fund	Winter Garden Theatre, New York
1930-01-01T00:00:00	Julius Caesar	Brember Wills	Harcourt Williams	Old Vic	Old Vic, London
1922-07-29T00:00:00	Julius Caesar	Stanley Lathbury	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1984-05-29T00:00:00	Julius Caesar	Joseph O’Conor	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
1919-08-05T00:00:00	Julius Caesar	G F Hannam Clark	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1961-01-01T00:00:00	Julius Caesar	Joseph O’Conor	Minos Volanakis	unknown production company	Old Vic, London
1959-03-14T00:00:00	Julius Caesar	Malcolm Rogers	Bryan Bailey	Belgrade Theatre Co.	Belgrade Theatre, Coventry
1957-05-28T00:00:00	Julius Caesar	Cyril Luckham	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2014-10-11T00:00:00	Julius Caesar	George Irving	Dominic Dromgoole	Shakespeare’s Globe	Shakespeare’s Globe
1956-05-12T00:00:00	Julius Caesar	Alan Rowe	Bernard Hepton	unknown production company	Birmingham Repertory Theatre
2012-01-01T00:00:00	Julius Caesar	Frances Barber	Phyllida Lloyd	unknown production company	Donmar Warehouse, London
1955-01-01T00:00:00	Julius Caesar	Gerald Cross	Michael Benthall	unknown production company	Old Vic, London
1972-08-17T00:00:00	Julius Caesar	Richard Beale	Peter James	National Theatre at the Young Vic	Young Vic, London
2007-11-24T00:00:00	Julius Caesar	Miranda Bell	Dee Evans	Mercury Theatre Co.	Mercury Theatre, Colchester
1980-01-01T00:00:00	Julius Caesar	Robert Flemyng	Peter Gill	unknown production company	Riverside Studios, London
1964-01-01T00:00:00	Julius Caesar	Paul Curran	Lindsay Anderson	unknown production company	Royal Court Theatre
1977-09-16T00:00:00	Julius Caesar	Nigel Stock	Peter Dews	Chichester Festival Theatre Production	Chichester Festival Theatre
1977-03-17T00:00:00	Julius Caesar	John Gielgud	John Schlesinger	National Theatre	Olivier Theatre, National Theatre
1995-07-29T00:00:00	Julius Caesar	Roger Dobson	Sally Bowles	The Priory Players	Trinity Street Gardens, Marshall Sutton Jones, Colchester
1994-01-01T00:00:00	Julius Caesar	Denys Hawthorne	Robert Delamere	unknown production company	Royal Exchange Theatre, Manchester
1989-01-01T00:00:00	Julius Caesar	John Franklyn-Robbins	Michael Napier Brown	unknown production company	Ludlow
1934-04-19T00:00:00	Julius Caesar	Eric Maxon	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1988-06-14T00:00:00	Julius Caesar	Joseph O’Conor	Terry Hands	Royal Shakespeare Company	Barbican Theatre, London
